Date,Close,ti
15-10-2018,1004.030029,92
16-10-2018,996.375,93
17-10-2018,987.299988,94
19-10-2018,983.875,95
22-10-2018,999.450012,96
23-10-2018,992.424988,97
24-10-2018,996.125,98
25-10-2018,984.400024,99
26-10-2018,980.599976,100
29-10-2018,963.150024,101
30-10-2018,956.375,102
31-10-2018,955.875,103
01-11-2018,956.099976,104
02-11-2018,974.724976,105
05-11-2018,978,106
06-11-2018,973.275024,107
07-11-2018,978.974976,108
09-11-2018,972.700012,109
12-11-2018,960.525024,110
13-11-2018,963.875,111
14-11-2018,978.875,112
15-11-2018,987.575012,113
16-11-2018,1002.150024,114
19-11-2018,1006.950012,115
20-11-2018,1006.219971,116
21-11-2018,1009.380005,117
22-11-2018,1002.75,118
26-11-2018,1024.900024,119
27-11-2018,1032,120
28-11-2018,1044.619995,121
29-11-2018,1065.530029,122
30-11-2018,1064.219971,123
03-12-2018,1056.650024,124
04-12-2018,1042.780029,125
05-12-2018,1049.599976,126
06-12-2018,1048.530029,127
07-12-2018,1053.800049,128
10-12-2018,1044.380005,129
11-12-2018,1029.780029,130
12-12-2018,1042.650024,131
13-12-2018,1050.650024,132
14-12-2018,1047.849976,133
17-12-2018,1065.099976,134
18-12-2018,1067.719971,135
19-12-2018,1061.719971,136
20-12-2018,1068.719971,137
21-12-2018,1055.569946,138
24-12-2018,1040.319946,139
26-12-2018,1061.180054,140
27-12-2018,1052.530029,141
28-12-2018,1061.449951,142
31-12-2018,1060.849976,143
01-01-2019,1074.050049,144
02-01-2019,1064.25,145
03-01-2019,1055.900024,146
04-01-2019,1058.719971,147
07-01-2019,1060.319946,148
08-01-2019,1051.5,149
09-01-2019,1058.400024,150
10-01-2019,1054.25,151
11-01-2019,1055.949951,152
14-01-2019,1050.819946,153
15-01-2019,1060.949951,154
16-01-2019,1060.099976,155
17-01-2019,1066.150024,156
18-01-2019,1065.119995,157
21-01-2019,1074.069946,158
22-01-2019,1067.930054,159
23-01-2019,1052.699951,160
24-01-2019,1051.119995,161
25-01-2019,1048,162
28-01-2019,1042.069946,163
29-01-2019,1028.800049,164
30-01-2019,1017.349976,165
31-01-2019,1039.969971,166
01-02-2019,1045.219971,167
04-02-2019,1052.449951,168
05-02-2019,1057.030029,169
06-02-2019,1061.319946,170
07-02-2019,1058.619995,171
08-02-2019,1061.319946,172
11-02-2019,1069.819946,173
12-02-2019,1064.849976,174
14-02-2019,1055.099976,175
15-02-2019,1050.319946,176
18-02-2019,1044.949951,177
19-02-2019,1042.030029,178
20-02-2019,1054.180054,179
21-02-2019,1057.949951,180
22-02-2019,1045.719971,181
25-02-2019,1062.699951,182
26-02-2019,1055.319946,183
27-02-2019,1046.119995,184
28-02-2019,1038.780029,185
01-03-2019,1041.680054,186
05-03-2019,1053.550049,187
06-03-2019,1052.119995,188
07-03-2019,1063.25,189
08-03-2019,1064.099976,190
11-03-2019,1064.219971,191
12-03-2019,1085.5,192
13-03-2019,1113.280029,193
14-03-2019,1112.380005,194
15-03-2019,1126.5,195
18-03-2019,1130.719971,196
19-03-2019,1133.880005,197
20-03-2019,1149.5,198
22-03-2019,1138.069946,199
25-03-2019,1140.650024,200
26-03-2019,1155.680054,201
27-03-2019,1149.719971,202
28-03-2019,1151.400024,203
01-04-2019,1155.900024,204
02-04-2019,1147.430054,205
03-04-2019,1146.380005,206
04-04-2019,1141.969971,207
05-04-2019,1152.800049,208
08-04-2019,1144.699951,209
09-04-2019,1143.619995,210
10-04-2019,1118.680054,211
11-04-2019,1128.75,212
12-04-2019,1132.619995,213
15-04-2019,1144.400024,214
16-04-2019,1152.530029,215
18-04-2019,1146.819946,216
22-04-2019,1134.349976,217
23-04-2019,1122.650024,218
24-04-2019,1139.880005,219
25-04-2019,1131.719971,220
26-04-2019,1140.469971,221
30-04-2019,1158.719971,222
